                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1341,                0.80358,                 1.0298,                0.80879,                0.26984,                0.36332,                0.19121,                 2.1798,                 2.3481,                  1.583,              0.0012562,              0.0012562,              0.0012562
                     65,                 1.1012,                0.76752,                 0.9941,                0.55756,                0.33333,                0.37563,                 0.1905,                 2.1396,                  2.202,                 1.5063,              0.0012361,              0.0012361,              0.0012361
                     66,                 1.1849,                0.82173,                 1.0421,                0.55492,                0.33333,                0.35733,                0.19636,                 2.1352,                 1.9793,                 1.5943,              0.0012158,              0.0012158,              0.0012158
                     67,                 1.1741,                0.78192,                 1.0293,                0.62405,                0.34921,                0.34863,                0.18044,                 2.1651,                 2.0809,                 1.5596,              0.0011955,              0.0011955,              0.0011955
                     68,                 1.1533,                0.78104,                 1.0227,                0.67465,                0.31746,                0.34313,                0.17841,                 2.1217,                 2.1367,                 1.5928,              0.0011751,              0.0011751,              0.0011751
                     69,                 1.1247,                0.75746,                 1.0201,                0.76697,                0.34921,                0.36112,                0.18811,                 2.1944,                 2.2748,                 1.6078,              0.0011546,              0.0011546,              0.0011546
                     70,                 1.1345,                0.77044,                 1.0119,                0.55892,                0.33333,                0.33821,                0.16802,                 2.1941,                 2.3211,                  1.645,              0.0011341,              0.0011341,              0.0011341
                     71,                 1.1058,                0.74887,                0.97326,                0.49495,                0.37342,                0.35576,                0.19567,                 2.1276,                 2.1746,                 1.5689,              0.0011135,              0.0011135,              0.0011135
                     72,                 1.0731,                0.74682,                0.97785,                0.62759,                0.37459,                0.35799,                0.20082,                 2.1737,                 2.2747,                 1.5736,              0.0010928,              0.0010928,              0.0010928
                     73,                 1.0364,                 0.6966,                0.97421,                0.54431,                0.37924,                0.35634,                 0.1889,                 2.0754,                  2.103,                 1.5458,              0.0010722,              0.0010722,              0.0010722
                     74,                  1.047,                0.72247,                0.98163,                0.68838,                0.33333,                0.35996,                0.19768,                 2.2043,                 2.1455,                 1.6211,              0.0010515,              0.0010515,              0.0010515
                     75,                 1.0086,                 0.6886,                 0.9657,                0.67222,                0.34921,                 0.3663,                0.19268,                 2.2654,                 1.9184,                 1.6089,              0.0010307,              0.0010307,              0.0010307
                     76,                 1.0723,                0.68647,                  1.002,                0.75101,                0.34921,                0.37436,                0.17109,                 2.2882,                 2.1422,                 1.6253,                0.00101,                0.00101,                0.00101
                     77,                 1.1357,                0.74172,                 0.9879,                0.73274,                0.34818,                0.35431,                 0.1634,                 2.2838,                 2.1891,                 1.6488,             0.00098927,             0.00098927,             0.00098927
                     78,                 1.0203,                0.67173,                0.96696,                0.62672,                0.31986,                0.33351,                0.16311,                 2.3937,                 2.2986,                 1.7742,             0.00096854,             0.00096854,             0.00096854
